FM;KD_JENIS_TRANSAKSI;FG_PENGGANTI;NOMOR_FAKTUR;MASA_PAJAK;TAHUN_PAJAK;TANGGAL_FAKTUR;NPWP;NAMA;ALAMAT_LENGKAP;JUMLAH_DPP;JUMLAH_PPN;JUMLAH_PPNBM;IS_CREDITABLE;FIELD_TAMBAHAN_1;FIELD_TAMBAHAN_2;FIELD_TAMBAHAN_3;FIELD_TAMBAHAN_4;FIELD_TAMBAHAN_5
FM;03;1;0021880905303;06;2018;04/06/2018;010031789042000;PT PERUSAHAAN PELAYARAN NUSANTARA PANURJWAN;JL YOS SUDARSO MEGAH NO 1 BLK B-15, KEBON BAWABG, JAKARTA UTARA;97855223;9785522;0;1;006;;;;
FM;01;0;0031839445165;06;2018;26/06/2018;018149245731000;KOP KOPERASI KARYAWAN ADHI LADYA;JL BARITO HILIR NO 06 TELAGA BIRU, BANJARMASIN;2700000;270000;0;1;006;;;;
FM;03;1;0031869290115;06;2018;28/06/2018;744936618613000;PT BERKAH INDUSTRI MESIN ANGKAT;JL. PERAK BARAT NO 379 RT 002 RW 00, PERAK UTARA, SURABAYA;64260500;6426050;0;1;006;;;;
FM;01;0;0011823459609;06;2018;30/04/2018;011082021631000;MERATUS LINE PT;JL. ALUN ALUN PRIOK NO. 27 PERAK BARAT SURABAYA;544000;54400;0;1;006;;;;
FM;01;0;0011823459607;06;2018;30/04/2018;011082021631000;MERATUS LINE PT;JL. ALUN ALUN PRIOK NO. 27 PERAK BARAT SURABAYA;850000;85000;0;1;006;;;;
FM;03;0;0021870850772;06;2018;05/06/2018;753468941906000;ARTA JAYA TEKNIK;BR BHINNEKA NUSA KANGIN BLOK JJ NO. 94 DALUNG BADUNG;20550000;2055000;0;1;006;;;;
FM;03;0;0021807750579;06;2018;04/06/2018;015885072441000;PT ATRYA SWASCIPTA RAKAYASA;JL PAHLAWAN NO. 95 RT 1 RW 7 BANDUNG;51618700;5161870;0;1;006;;;;
FM;03;1;0021878551780;06;2018;05/06/2018;016252066902000;CV.DWITYA PARAMITHA;JL PULAU NATUNA BULELENG BALI;72000000;7200000;0;1;006;;;;
FM;03;0;0031849307626;06;2018;04/06/2018;022072854613000;PT PELINDO DAYA SEJAHTERA;PERAK TIMUR 610 SURABAYA;53728167;5372817;0;1;006;;;;
FM;03;0;0031848342899;06;2018;28/06/2018;015686355641000;PT GRESIK JASATAMA;JL RE MARTADINATA GRESIK;205244513;20524451;0;1;006;;;;
FM;03;0;0031848342893;06;2018;28/06/2018;015686355641000;PT GRESIK JASATAMA;JL RE MARTADINATA GRESIK;14905565;1490556;0;1;006;;;;
